,_wandb,late_cost,early_cost,deviation_from_balanced,_step,_runtime,converged,_timestamp,mean_error,tp,kind,alpha,tau_a,epsilon,scale_cost,lineage_info,max_inner_iterations,name
0,{'runtime': 39},0.9997601060087956,0.999753743509,2.220446049250313e-16,0,40.38746619224548,True,1699616052.767372,0.999756924758898,450-510,GW,1.0,1,0.5,mean,abpxp,30000.0,eternal-sweep-600
1,{'runtime': 73},0.9998364009701702,0.9998598549542572,0.0,0,73.67121887207031,True,1699616082.9268568,0.9998481279622138,390-450,GW,1.0,1,0.5,mean,abpxp,30000.0,sleek-sweep-599
2,{'runtime': 369},0.9996388839623956,0.9996859857443816,0.0,0,370.09702801704407,True,1699616373.573603,0.9996624348533883,330-390,GW,1.0,1,0.5,mean,abpxp,30000.0,giddy-sweep-598
3,{'runtime': 1269},0.9999117010139544,0.999899095227467,6.661338147750939e-16,0,1270.0055627822876,True,1699617270.7684748,0.9999053981207108,270-330,GW,1.0,1,0.5,mean,abpxp,30000.0,skilled-sweep-597
4,{'runtime': 306},0.9999624742832932,0.9999635562284024,2.220446049250313e-16,0,307.4940872192383,True,1699616305.8125412,0.9999630152558476,210-270,GW,1.0,1,0.5,mean,abpxp,30000.0,iconic-sweep-596
5,{'runtime': 45},0.9993586414611376,0.9995800689882052,0.0,0,45.77681946754456,True,1699616022.8820765,0.9994693552246714,170-210,GW,1.0,1,0.5,mean,abpxp,30000.0,rose-sweep-595
6,{'runtime': 27},0.9944003105564904,0.9947214118309288,2.220446049250313e-16,0,28.44131827354431,True,1699615993.7280052,0.9945608611937096,450-510,GW,1.0,1,0.5,mean,precise,30000.0,absurd-sweep-594
7,{'runtime': 38},0.993198394890396,0.9930958129438648,0.0,0,40.30743670463562,True,1699615985.7752306,0.9931471039171302,390-450,GW,1.0,1,0.5,mean,precise,30000.0,dandy-sweep-593
8,{'runtime': 121},0.9997445015289376,0.9996929351067734,2.220446049250313e-16,0,121.7038893699646,True,1699616071.2629845,0.9997187183178554,330-390,GW,1.0,1,0.5,mean,precise,30000.0,soft-sweep-592
9,{'runtime': 343},0.9959885541416288,0.9953054293152902,0.0,0,344.3377351760864,True,1699616279.395964,0.9956469917284596,270-330,GW,1.0,1,0.5,mean,precise,30000.0,kind-sweep-591
10,{'runtime': 113},0.9930810007104316,0.9905748598748568,3.3306690738754696e-16,0,114.52652549743652,True,1699616047.5063846,0.9918279302926442,210-270,GW,1.0,1,0.5,mean,precise,30000.0,glamorous-sweep-590
11,{'runtime': 27},0.9897894089764188,0.9895452131920848,1.1102230246251563e-16,0,28.21712589263916,True,1699615948.93607,0.9896673110842518,170-210,GW,1.0,1,0.5,mean,precise,30000.0,neat-sweep-589
12,{'runtime': 43},0.99870161889068,0.998659031679222,7.771561172376097e-16,0,43.87700176239014,True,1699615959.0006738,0.998680325284951,450-510,GW,1.0,1,0.1,mean,abpxp,30000.0,earnest-sweep-588
13,{'runtime': 74},0.999127379557891,0.9992517417454412,1.1102230246251563e-16,0,75.32784104347229,True,1699615978.641869,0.999189560651666,390-450,GW,1.0,1,0.1,mean,abpxp,30000.0,silver-sweep-587
14,{'runtime': 335},0.9980161703125666,0.9982797956681814,2.220446049250313e-16,0,335.6395444869995,True,1699616223.8684494,0.998147982990374,330-390,GW,1.0,1,0.1,mean,abpxp,30000.0,distinctive-sweep-586
15,{'runtime': 1261},0.9995284820727928,0.999455146553732,1.1102230246251563e-15,0,1261.6339619159698,True,1699617135.294471,0.9994918143132624,270-330,GW,1.0,1,0.1,mean,abpxp,30000.0,easy-sweep-585
16,{'runtime': 332},0.999799253806998,0.9998021945323212,6.661338147750939e-16,0,332.90211820602417,True,1699616192.502422,0.9998007241696596,210-270,GW,1.0,1,0.1,mean,abpxp,30000.0,crisp-sweep-584
17,{'runtime': 27},0.9623357461157878,0.9642427177960036,6.661338147750939e-16,0,28.103344202041622,True,1699615886.936412,0.9632892319558956,450-510,GW,1.0,1,0.1,mean,precise,30000.0,polar-sweep-582
18,{'runtime': 39},0.9318498173704112,0.9302588522889396,2.220446049250313e-16,0,39.90610575675965,True,1699615895.907997,0.9310543348296754,390-450,GW,1.0,1,0.1,mean,precise,30000.0,resilient-sweep-581
19,{'runtime': 42},0.9961308101283016,0.9971594640858734,4.440892098500626e-16,0,42.97456479072571,True,1699615899.870319,0.9966451371070876,170-210,GW,1.0,1,0.1,mean,abpxp,30000.0,lyric-sweep-583
20,{'runtime': 130},0.9985679076627751,0.998270926421044,5.551115123125784e-16,0,131.23635601997375,True,1699615982.52017,0.9984194170419096,330-390,GW,1.0,1,0.1,mean,precise,30000.0,faithful-sweep-580
21,{'runtime': 408},0.9692072746137472,0.9640557649752522,0.0,0,409.12877655029297,True,1699616250.3987086,0.9666315197944998,270-330,GW,1.0,1,0.1,mean,precise,30000.0,solar-sweep-579
22,{'runtime': 110},0.9180306596048498,0.8897291188334894,4.440892098500626e-16,0,110.5930106639862,True,1699615927.0543406,0.9038798892191696,210-270,GW,1.0,1,0.1,mean,precise,30000.0,faithful-sweep-578
23,{'runtime': 28},0.8257305961364179,0.8107311287063774,5.551115123125784e-16,0,28.855235815048218,True,1699615840.4926617,0.8182308624213976,170-210,GW,1.0,1,0.1,mean,precise,30000.0,expert-sweep-577
24,{'runtime': 40},0.997031976265912,0.996887900405333,9.992007221626409e-16,0,40.85721182823181,True,1699615842.6346295,0.9969599383356226,450-510,GW,1.0,1,0.05,mean,abpxp,30000.0,ethereal-sweep-576
25,{'runtime': 76},0.998066711195379,0.998328344579344,2.220446049250313e-16,0,77.21861219406128,True,1699615867.4522612,0.9981975278873616,390-450,GW,1.0,1,0.05,mean,abpxp,30000.0,unique-sweep-575
