,_wandb,late_cost,early_cost,deviation_from_balanced,_step,_runtime,converged,_timestamp,mean_error,tp,kind,alpha,tau_a,epsilon,scale_cost,lineage_info,max_inner_iterations,name
26,{'runtime': 344},0.9954302317118432,0.996048132716,4.440892098500626e-16,0,344.85645151138306,True,1699616126.2983036,0.9957391822139214,330-390,GW,1.0,1,0.05,mean,abpxp,30000.0,neat-sweep-574
27,{'runtime': 1371},0.99895549698589,0.9987640383224003,7.771561172376097e-16,0,1371.8804383277893,True,1699617146.7590244,0.9988597676541452,270-330,GW,1.0,1,0.05,mean,abpxp,30000.0,rose-sweep-573
28,{'runtime': 301},0.999547787002344,0.9995273763583366,4.440892098500626e-16,0,301.66222405433655,True,1699616071.459682,0.9995375816803402,210-270,GW,1.0,1,0.05,mean,abpxp,30000.0,light-sweep-572
29,{'runtime': 44},0.9331291799199776,0.9165328385113892,5.551115123125784e-16,0,45.2898645401001,True,1699615792.9433715,0.9248310092156836,170-210,GW,1.0,1,0.05,mean,abpxp,30000.0,leafy-sweep-571
30,{'runtime': 27},0.8584092777640355,0.8634927124448686,9.992007221626409e-16,0,28.09813404083252,True,1699615762.690641,0.860950995104452,450-510,GW,1.0,1,0.05,mean,precise,30000.0,expert-sweep-570
31,{'runtime': 39},0.6856074463717435,0.6841511162363964,3.3306690738754696e-16,0,40.48624658584595,True,1699615771.2628465,0.6848792813040699,390-450,GW,1.0,1,0.05,mean,precise,30000.0,charmed-sweep-569
32,{'runtime': 126},0.9965739279833912,0.9958535851466986,1.4432899320127037e-15,0,127.39806652069092,True,1699615856.6768646,0.9962137565650449,330-390,GW,1.0,1,0.05,mean,precise,30000.0,pretty-sweep-568
33,{'runtime': 400},0.9094835479055264,0.8961311194615749,3.3306690738754696e-16,0,400.6461744308472,True,1699616131.0216484,0.9028073336835506,270-330,GW,1.0,1,0.05,mean,precise,30000.0,fresh-sweep-567
34,{'runtime': 124},0.8246379459610729,0.7653128318031118,6.661338147750939e-16,0,124.7987220287323,True,1699615840.061378,0.7949753888820923,210-270,GW,1.0,1,0.05,mean,precise,30000.0,mild-sweep-566
35,{'runtime': 28},0.38022498780582337,0.37479819314426793,4.440892098500626e-16,0,29.210901260375977,True,1699615714.8899844,0.3775115904750457,170-210,GW,1.0,1,0.05,mean,precise,30000.0,honest-sweep-565
36,{'runtime': 41},0.7924507953078243,0.7821237015369455,2.220446049250313e-16,0,42.30863356590271,True,1699615709.9509983,0.787287248422385,450-510,GW,1.0,1,0.01,mean,abpxp,30000.0,splendid-sweep-564
37,{'runtime': 74},0.7244823508691354,0.751502720045627,1.1102230246251563e-16,0,74.74353075027466,True,1699615730.1199958,0.7379925354573812,390-450,GW,1.0,1,0.01,mean,abpxp,30000.0,sandy-sweep-563
38,{'runtime': 338},0.7358827390045257,0.7323794424220337,8.881784197001252e-16,0,338.8346061706543,True,1699615981.5263245,0.7341310907132796,330-390,GW,1.0,1,0.01,mean,abpxp,30000.0,fresh-sweep-562
39,{'runtime': 1209},0.8416086769704406,0.8003428040092532,0.0,0,1210.57909822464,True,1699616847.2840912,0.8209757404898469,270-330,GW,1.0,1,0.01,mean,abpxp,30000.0,fearless-sweep-561
40,{'runtime': 283},0.6936799787584824,0.6708948918466408,2.220446049250313e-16,0,284.4444980621338,True,1699615917.37172,0.6822874353025616,210-270,GW,1.0,1,0.01,mean,abpxp,30000.0,colorful-sweep-560
41,{'runtime': 43},0.7074353727361241,0.7502157684826483,0.0,0,44.17940807342529,True,1699615667.8288522,0.7288255706093862,170-210,GW,1.0,1,0.01,mean,abpxp,30000.0,celestial-sweep-559
42,{'runtime': 27},0.12655546348222776,0.136871156840482,6.661338147750939e-16,0,28.53394055366516,True,1699615648.5747497,0.1317133101613549,450-510,GW,1.0,1,0.01,mean,precise,30000.0,lyric-sweep-558
43,{'runtime': 38},0.110194794297769,0.12378536007329996,8.881784197001252e-16,0,39.14719438552856,True,1699615636.863197,0.11699007718553447,390-450,GW,1.0,1,0.01,mean,precise,30000.0,radiant-sweep-557
44,{'runtime': 119},0.7184070348115993,0.6677374895081263,0.0,0,120.25915622711182,True,1699615717.6514392,0.6930722621598628,330-390,GW,1.0,1,0.01,mean,precise,30000.0,stellar-sweep-556
45,{'runtime': 322},0.6756376858557409,0.6512290512191379,1.1102230246251563e-16,0,323.53981590270996,True,1699615910.7008278,0.6634333685374394,270-330,GW,1.0,1,0.01,mean,precise,30000.0,vocal-sweep-555
46,{'runtime': 123},0.2842033082885434,0.25444438500500144,2.220446049250313e-16,0,123.84420537948608,True,1699615694.4710984,0.26932384664677245,210-270,GW,1.0,1,0.01,mean,precise,30000.0,woven-sweep-554
47,{'runtime': 26},0.10917807860533958,0.08376398795172162,0.0,0,27.500502824783325,True,1699615578.3307788,0.0964710332785306,170-210,GW,1.0,1,0.01,mean,precise,30000.0,sandy-sweep-553
48,{'runtime': 39},0.3151409291048063,0.30767658806356835,3.3306690738754696e-16,0,40.119287967681885,True,1699615578.870561,0.3114087585841873,450-510,GW,1.0,1,0.001,mean,abpxp,30000.0,cool-sweep-552
49,{'runtime': 72},0.37098908690459514,0.4201975185042997,4.440892098500626e-16,0,72.89377069473267,True,1699615603.8459828,0.39559330270444737,390-450,GW,1.0,1,0.001,mean,abpxp,30000.0,zany-sweep-551
50,{'runtime': 310},0.4107752675804984,0.3570739679902399,7.771561172376097e-16,0,311.26328206062317,True,1699615832.140036,0.3839246177853691,330-390,GW,1.0,1,0.001,mean,abpxp,30000.0,rural-sweep-550
51,{'runtime': 1119},0.5926490706710391,0.5730381479566686,9.992007221626409e-16,0,1120.5563082695007,True,1699616635.7600124,0.5828436093138538,270-330,GW,1.0,1,0.001,mean,abpxp,30000.0,still-sweep-549
52,{'runtime': 272},0.5497994282243927,0.5513588780298365,2.220446049250313e-16,0,273.45289969444275,True,1699615780.1190157,0.5505791531271146,210-270,GW,1.0,1,0.001,mean,abpxp,30000.0,lucky-sweep-548
53,{'runtime': 45},1.044425187460781,1.1031921875439157,4.440892098500626e-16,0,46.21290850639343,True,1699615549.8526323,1.0738086875023485,170-210,GW,1.0,1,0.001,mean,abpxp,30000.0,wild-sweep-547
54,{'runtime': 25},0.01002175063079068,0.009852959888740171,8.881784197001252e-16,0,26.347877025604248,True,1699615523.740458,0.009937355259765426,450-510,GW,1.0,1,0.001,mean,precise,30000.0,rose-sweep-546
55,{'runtime': 36},0.04262370449756975,0.047701106134931566,2.220446049250313e-16,0,37.4965660572052,True,1699615531.788592,0.04516240531625065,390-450,GW,1.0,1,0.001,mean,precise,30000.0,fluent-sweep-545
56,{'runtime': 126},0.6139133580354043,0.5599569183919054,2.220446049250313e-16,0,126.6429615020752,True,1699615619.5155797,0.5869351382136548,330-390,GW,1.0,1,0.001,mean,precise,30000.0,wise-sweep-544
57,{'runtime': 305},0.22975589583808237,0.1975817557341845,2.220446049250313e-16,0,306.08884477615356,True,1699615797.558251,0.21366882578613344,270-330,GW,1.0,1,0.001,mean,precise,30000.0,laced-sweep-543
58,{'runtime': 121},0.1632896529732506,0.15078681661306298,2.220446049250313e-16,0,121.80780482292175,True,1699615602.4675689,0.1570382347931568,210-270,GW,1.0,1,0.001,mean,precise,30000.0,ethereal-sweep-542
59,{'runtime': 28},0.1373412089380038,0.0879707253077424,2.220446049250313e-16,0,29.151043176651,True,1699615482.1285372,0.1126559671228731,170-210,GW,1.0,1,0.001,mean,precise,30000.0,classic-sweep-541
60,{'runtime': 40},0.9942468143283338,0.9945636643014834,1.1102230246251563e-16,0,41.5178337097168,True,1699615492.2967298,0.9944052393149084,450-510,moslin,0.98,1,0.5,mean,abpxp,30000.0,morning-sweep-540
61,{'runtime': 77},0.9957658690704376,0.995998748187788,4.440892098500626e-16,0,77.89110088348389,True,1699615510.5846949,0.9958823086291128,390-450,moslin,0.98,1,0.5,mean,abpxp,30000.0,cerulean-sweep-539
62,{'runtime': 325},0.9984485585720398,0.9986357847023876,3.3306690738754696e-16,0,325.93634390830994,True,1699615747.398931,0.9985421716372136,330-390,moslin,0.98,1,0.5,mean,abpxp,30000.0,still-sweep-538
63,{'runtime': 1113},0.998067042963609,0.9978979019223048,1.7763568394002505e-15,0,1114.3018233776093,True,1699616512.1560633,0.9979824724429568,270-330,moslin,0.98,1,0.5,mean,abpxp,30000.0,celestial-sweep-537
64,{'runtime': 328},0.9981840152697964,0.9980374949454336,8.881784197001252e-16,0,329.0056040287018,True,1699615712.937022,0.9981107551076148,210-270,moslin,0.98,1,0.5,mean,abpxp,30000.0,smart-sweep-536
65,{'runtime': 45},0.9983451137367342,0.9986600703834256,2.220446049250313e-16,0,45.79926681518555,True,1699615431.122598,0.99850259206008,170-210,moslin,0.98,1,0.5,mean,abpxp,30000.0,atomic-sweep-535
66,{'runtime': 28},0.9839252950822024,0.9845926102430648,1.1102230246251563e-16,0,28.637592315673828,True,1699615405.235495,0.9842589526626336,450-510,moslin,0.98,1,0.5,mean,precise,30000.0,flowing-sweep-534
67,{'runtime': 40},0.9860700076600264,0.98604253175311,0.0,0,40.638198375701904,True,1699615411.4668863,0.9860562697065682,390-450,moslin,0.98,1,0.5,mean,precise,30000.0,different-sweep-533
68,{'runtime': 129},0.9955581904423424,0.9954226359678172,0.0,0,129.75199699401855,True,1699615498.716027,0.9954904132050798,330-390,moslin,0.98,1,0.5,mean,precise,30000.0,celestial-sweep-532
69,{'runtime': 385},0.9935553457488502,0.9929238916016776,7.771561172376097e-16,0,386.48442006111145,True,1699615753.406565,0.993239618675264,270-330,moslin,0.98,1,0.5,mean,precise,30000.0,crimson-sweep-531
70,{'runtime': 129},0.9906063153901404,0.9878652022505564,3.3306690738754696e-16,0,129.80340266227722,True,1699615461.4670997,0.9892357588203484,210-270,moslin,0.98,1,0.5,mean,precise,30000.0,dazzling-sweep-530
71,{'runtime': 29},0.98469829082573,0.984056589559386,1.1102230246251563e-16,0,30.472132682800293,True,1699615349.2819457,0.984377440192558,170-210,moslin,0.98,1,0.5,mean,precise,30000.0,noble-sweep-529
72,{'runtime': 41},0.9691299488846904,0.970778636068762,9.992007221626409e-16,0,42.00174617767334,True,1699615356.2648711,0.9699542924767262,450-510,moslin,0.98,1,0.1,mean,abpxp,30000.0,sleek-sweep-528
73,{'runtime': 73},0.9776446912646548,0.9789172930126376,3.3306690738754696e-16,0,73.84729337692261,True,1699615376.7773614,0.9782809921386464,390-450,moslin,0.98,1,0.1,mean,abpxp,30000.0,helpful-sweep-527
74,{'runtime': 315},0.991778147903584,0.992756500739138,2.220446049250313e-16,0,316.4805772304535,True,1699615613.4872382,0.9922673243213608,330-390,moslin,0.98,1,0.1,mean,abpxp,30000.0,sweepy-sweep-526
75,{'runtime': 1255},0.9899374785028316,0.9890224901497866,8.881784197001252e-16,0,1256.471168756485,True,1699616527.0352547,0.9894799843263092,270-330,moslin,0.98,1,0.1,mean,abpxp,30000.0,ancient-sweep-525
76,{'runtime': 313},0.9903181826679736,0.9895904991869834,6.661338147750939e-16,0,313.65572237968445,True,1699615568.6273675,0.9899543409274784,210-270,moslin,0.98,1,0.1,mean,abpxp,30000.0,effortless-sweep-524
77,{'runtime': 26},0.8920630145665901,0.8959934211259898,7.771561172376097e-16,0,27.090458631515503,True,1699615276.6272006,0.8940282178462899,450-510,moslin,0.98,1,0.1,mean,precise,30000.0,restful-sweep-522
78,{'runtime': 47},0.9909010130706792,0.992429715896304,6.661338147750939e-16,0,48.40243983268738,True,1699615299.897744,0.9916653644834916,170-210,moslin,0.98,1,0.1,mean,abpxp,30000.0,glorious-sweep-523
79,{'runtime': 39},0.8758129415735176,0.8741414906219861,4.440892098500626e-16,0,40.24164843559265,True,1699615287.873943,0.8749772160977518,390-450,moslin,0.98,1,0.1,mean,precise,30000.0,fiery-sweep-521
80,{'runtime': 123},0.9746345024920025,0.9737468149593036,4.440892098500626e-16,0,124.4461350440979,True,1699615364.964113,0.974190658725653,330-390,moslin,0.98,1,0.1,mean,precise,30000.0,ruby-sweep-520
81,{'runtime': 381},0.9535732921134497,0.9488021599744144,4.440892098500626e-16,0,381.7525701522827,True,1699615622.29906,0.951187726043932,270-330,moslin,0.98,1,0.1,mean,precise,30000.0,volcanic-sweep-519
82,{'runtime': 117},0.9012790491789294,0.8711098803759163,7.771561172376097e-16,0,118.05209469795228,True,1699615349.0297997,0.8861944647774229,210-270,moslin,0.98,1,0.1,mean,precise,30000.0,vital-sweep-518
83,{'runtime': 28},0.768067633526884,0.7492387016449488,6.661338147750939e-16,0,29.098407745361328,True,1699615234.4238708,0.7586531675859164,170-210,moslin,0.98,1,0.1,mean,precise,30000.0,blooming-sweep-517
84,{'runtime': 41},0.9323296181350408,0.9356486151935716,7.771561172376097e-16,0,41.76195669174194,True,1699615234.8285158,0.9339891166643064,450-510,moslin,0.98,1,0.05,mean,abpxp,30000.0,atomic-sweep-516
85,{'runtime': 76},0.9519882161131769,0.9548908546419208,4.440892098500626e-16,0,76.82139182090759,True,1699615254.7285137,0.9534395353775488,390-450,moslin,0.98,1,0.05,mean,abpxp,30000.0,warm-sweep-515
86,{'runtime': 302},0.9820914056226882,0.9841737526644248,2.220446049250313e-16,0,302.99630069732666,True,1699615475.4535956,0.9831325791435566,330-390,moslin,0.98,1,0.05,mean,abpxp,30000.0,ethereal-sweep-514
87,{'runtime': 1307},0.9787107081123224,0.9766532594600345,1.4432899320127037e-15,0,1307.7122399806976,True,1699616460.14847,0.9776819837861784,270-330,moslin,0.98,1,0.05,mean,abpxp,30000.0,denim-sweep-513
88,{'runtime': 339},0.9785803849726732,0.97710474199471,1.1102230246251563e-16,0,339.97958540916443,True,1699615476.4396644,0.9778425634836916,210-270,moslin,0.98,1,0.05,mean,abpxp,30000.0,lunar-sweep-512
89,{'runtime': 42},0.9178601099027116,0.902414324650365,2.220446049250313e-16,0,42.69657588005066,True,1699615177.647071,0.9101372172765384,170-210,moslin,0.98,1,0.05,mean,abpxp,30000.0,polished-sweep-511
90,{'runtime': 28},0.6648182569169182,0.6747812891420117,6.661338147750939e-16,0,29.4546799659729,True,1699615162.35567,0.6697997730294649,450-510,moslin,0.98,1,0.05,mean,precise,30000.0,easy-sweep-510
91,{'runtime': 38},0.5572659702547458,0.5567651663330903,4.440892098500626e-16,0,39.462522983551025,True,1699615155.965498,0.557015568293918,390-450,moslin,0.98,1,0.05,mean,precise,30000.0,tough-sweep-509
92,{'runtime': 120},0.9364608354190224,0.934284706424978,4.440892098500626e-16,0,121.35210132598876,True,1699615227.966329,0.935372770922,330-390,moslin,0.98,1,0.05,mean,precise,30000.0,young-sweep-508
93,{'runtime': 373},0.8697902766827592,0.85900175630939,4.440892098500626e-16,0,373.6942849159241,True,1699615478.0788288,0.8643960164960747,270-330,moslin,0.98,1,0.05,mean,precise,30000.0,deft-sweep-507
94,{'runtime': 115},0.790444177986223,0.732566065337454,4.440892098500626e-16,0,115.82005643844604,True,1699615212.6537745,0.7615051216618385,210-270,moslin,0.98,1,0.05,mean,precise,30000.0,warm-sweep-506
95,{'runtime': 27},0.32611432753145797,0.3216228585022831,4.440892098500626e-16,0,28.56241011619568,True,1699615090.300533,0.32386859301687054,170-210,moslin,0.98,1,0.05,mean,precise,30000.0,deft-sweep-505
96,{'runtime': 40},0.30004103929221204,0.29986066086505986,2.220446049250313e-16,0,42.85614562034607,True,1699615087.6877556,0.299950850078636,450-510,moslin,0.98,1,0.01,mean,abpxp,30000.0,prime-sweep-504
97,{'runtime': 74},0.3576681573671704,0.3863303259664296,2.220446049250313e-16,0,74.99840116500854,True,1699615113.5121262,0.3719992416668,390-450,moslin,0.98,1,0.01,mean,abpxp,30000.0,pious-sweep-503
98,{'runtime': 349},0.605856721046562,0.6049320749104098,1.3322676295501878e-15,0,349.9837443828583,True,1699615366.1675594,0.6053943979784859,330-390,moslin,0.98,1,0.01,mean,abpxp,30000.0,devoted-sweep-502
99,{'runtime': 1091},0.6166508520748255,0.5667653368787373,0.0,0,1092.036681652069,True,1699616099.8620746,0.5917080944767814,270-330,moslin,0.98,1,0.01,mean,abpxp,30000.0,celestial-sweep-501
100,{'runtime': 311},0.5759515164074617,0.5594585651998122,4.440892098500626e-16,0,311.5890839099884,True,1699615312.6899428,0.5677050408036369,210-270,moslin,0.98,1,0.01,mean,abpxp,30000.0,sweet-sweep-500
101,{'runtime': 43},0.5950179536364556,0.6458080699039457,2.220446049250313e-16,0,43.660195112228394,True,1699615043.230126,0.6204130117702007,170-210,moslin,0.98,1,0.01,mean,abpxp,30000.0,cool-sweep-499
102,{'runtime': 26},0.060738294193067595,0.06461874648699512,2.220446049250313e-16,0,27.195534706115723,True,1699615019.245355,0.06267852034003135,450-510,moslin,0.98,1,0.01,mean,precise,30000.0,pleasant-sweep-498
103,{'runtime': 38},0.08638492675105411,0.09858439706755195,1.1102230246251563e-16,0,39.35138273239136,True,1699615028.4954517,0.09248466190930305,390-450,moslin,0.98,1,0.01,mean,precise,30000.0,sleek-sweep-497
104,{'runtime': 111},0.16198805891858606,0.155607214961068,2.220446049250313e-16,0,111.59704089164734,True,1699615098.886866,0.158797636939827,330-390,moslin,0.98,1,0.01,mean,precise,30000.0,comfy-sweep-496
105,{'runtime': 319},0.3497752566775535,0.34543437304626473,5.551115123125784e-16,0,319.81150364875793,True,1699615293.8272643,0.3476048148619091,270-330,moslin,0.98,1,0.01,mean,precise,30000.0,spring-sweep-495
106,{'runtime': 109},0.2266838490378098,0.21057234696885008,3.3306690738754696e-16,0,110.53722620010376,True,1699615073.1930993,0.2186280980033299,210-270,moslin,0.98,1,0.01,mean,precise,30000.0,fiery-sweep-494
107,{'runtime': 40},0.17685010901310244,0.15994246414482752,4.440892098500626e-16,0,40.60364389419556,True,1699614981.5637538,0.168396286578965,450-510,moslin,0.98,1,0.001,mean,abpxp,30000.0,fast-sweep-492
108,{'runtime': 28},0.14030817790652483,0.11426746478294168,0.0,0,28.69843578338623,True,1699614970.7525048,0.1272878213447333,170-210,moslin,0.98,1,0.01,mean,precise,30000.0,polar-sweep-493
109,{'runtime': 72},0.1885038808563295,0.2685499970458295,0.0,0,72.63528823852539,True,1699614986.9216104,0.2285269389510795,390-450,moslin,0.98,1,0.001,mean,abpxp,30000.0,solar-sweep-491
110,{'runtime': 312},0.2944518606259598,0.3366921653016427,4.440892098500626e-16,0,313.26994705200195,True,1699615222.125948,0.3155720129638012,330-390,moslin,0.98,1,0.001,mean,abpxp,30000.0,fine-sweep-490
111,{'runtime': 1175},0.3622877138212059,0.42857642096657234,7.771561172376097e-16,0,1175.5896272659302,True,1699616082.0459032,0.39543206739388914,270-330,moslin,0.98,1,0.001,mean,abpxp,30000.0,different-sweep-489
112,{'runtime': 316},0.5779068305106468,0.7220455550895728,7.771561172376097e-16,0,317.2452459335327,True,1699615220.4316158,0.6499761928001098,210-270,moslin,0.98,1,0.001,mean,abpxp,30000.0,mild-sweep-488
113,{'runtime': 43},0.8628774266090187,1.010403257888456,0.0,0,44.19149208068848,True,1699614944.962829,0.9366403422487372,170-210,moslin,0.98,1,0.001,mean,abpxp,30000.0,absurd-sweep-487
114,{'runtime': 26},0.13163504453733993,0.12972463635447412,4.440892098500626e-16,0,27.45076036453247,True,1699614922.8711357,0.13067984044590705,450-510,moslin,0.98,1,0.001,mean,precise,30000.0,pious-sweep-486
115,{'runtime': 39},0.1238869707964806,0.15201297420191232,2.220446049250313e-16,0,39.688467502593994,True,1699614925.0560324,0.13794997249919644,390-450,moslin,0.98,1,0.001,mean,precise,30000.0,northern-sweep-485
116,{'runtime': 117},0.14488509531125646,0.1514120048537261,3.3306690738754696e-16,0,118.0025396347046,True,1699615001.3394003,0.14814855008249128,330-390,moslin,0.98,1,0.001,mean,precise,30000.0,dandy-sweep-484
117,{'runtime': 308},0.2191551289791571,0.2958285454763529,2.220446049250313e-16,0,308.97392201423645,True,1699615186.218858,0.257491837227755,270-330,moslin,0.98,1,0.001,mean,precise,30000.0,sweepy-sweep-483
118,{'runtime': 109},0.2686176175231714,0.28591755115500256,2.220446049250313e-16,0,109.99269127845764,True,1699614973.6970365,0.277267584339087,210-270,moslin,0.98,1,0.001,mean,precise,30000.0,rosy-sweep-482
119,{'runtime': 28},0.4137239686348673,0.3788687731308926,0.0,0,28.67238140106201,True,1699614860.9214077,0.39629637088287994,170-210,moslin,0.98,1,0.001,mean,precise,30000.0,spring-sweep-481
120,{'runtime': 41},0.9852331460351336,0.986074465734081,1.1102230246251563e-16,0,41.62655806541443,True,1699614865.04817,0.9856538058846072,450-510,moslin,0.95,1,0.5,mean,abpxp,30000.0,dazzling-sweep-480
121,{'runtime': 75},0.9891912826161644,0.9897629874324368,2.220446049250313e-16,0,76.30946683883667,True,1699614882.4399118,0.9894771350243006,390-450,moslin,0.95,1,0.5,mean,abpxp,30000.0,wild-sweep-479
122,{'runtime': 315},0.9965477460097516,0.9969547926404342,1.1102230246251563e-16,0,316.5704140663147,True,1699615116.482746,0.996751269325093,330-390,moslin,0.95,1,0.5,mean,abpxp,30000.0,youthful-sweep-478
123,{'runtime': 1135},0.9951166996443548,0.9946968488789838,4.440892098500626e-16,0,1136.5535769462583,True,1699615927.59244,0.9949067742616692,270-330,moslin,0.95,1,0.5,mean,abpxp,30000.0,lucky-sweep-477
124,{'runtime': 348},0.9953546472400784,0.9949802851813372,1.1102230246251563e-16,0,348.6118371486664,True,1699615118.256946,0.9951674662107078,210-270,moslin,0.95,1,0.5,mean,abpxp,30000.0,radiant-sweep-476
125,{'runtime': 43},0.9967645216591748,0.9972274539799348,0.0,0,43.727266788482666,True,1699614805.3321135,0.9969959878195548,170-210,moslin,0.95,1,0.5,mean,abpxp,30000.0,crisp-sweep-475
126,{'runtime': 27},0.9672672053419638,0.9684763409532168,1.1102230246251563e-16,0,27.642248392105103,True,1699614782.5552435,0.9678717731475904,450-510,moslin,0.95,1,0.5,mean,precise,30000.0,peach-sweep-474
127,{'runtime': 40},0.974667235238902,0.9747460738713252,3.3306690738754696e-16,0,40.974034786224365,True,1699614791.8599098,0.9747066545551136,390-450,moslin,0.95,1,0.5,mean,precise,30000.0,desert-sweep-473
