,_id,config.overwrite,config.db_collection,config.alpha,config.epsilon,config.kind,config.lineage_info,config.scale_cost,config.tp,config.seed,result.early_cost,result.late_cost,result.converged
0,1,1,celegans2,0.01,0.001,moslin,precise,mean,"[170, 210]",187668437,0.6381877653309802,0.7598431288669477,False
1,2,2,celegans2,0.01,0.001,moslin,abpxp,mean,"[170, 210]",808934089,1.4732941738669567,1.5639902353241002,False
2,3,3,celegans2,0.01,0.01,moslin,precise,mean,"[170, 210]",813578452,0.6711644351157783,0.6697811821762285,False
3,4,4,celegans2,0.01,0.01,moslin,abpxp,mean,"[170, 210]",433740411,1.5275462786375322,1.36082030504386,False
4,5,5,celegans2,0.01,0.05,moslin,precise,mean,"[170, 210]",904063735,0.6685673501121423,0.6607580490478308,False
5,6,6,celegans2,0.01,0.05,moslin,abpxp,mean,"[170, 210]",848205225,1.5209554270981827,1.3252846917710894,False
6,7,7,celegans2,0.01,0.1,moslin,precise,mean,"[170, 210]",804785776,0.6628727463544081,0.6541433120743425,False
7,8,8,celegans2,0.01,0.1,moslin,abpxp,mean,"[170, 210]",826121055,1.5169024827963984,1.3207167984454549,True
8,9,9,celegans2,0.01,0.5,moslin,precise,mean,"[170, 210]",139334610,0.6415798502185238,0.6353146206667454,True
9,10,10,celegans2,0.01,0.5,moslin,abpxp,mean,"[170, 210]",637585288,1.4742446479219298,1.2910852293292288,True
10,11,11,celegans2,0.1,0.001,moslin,precise,mean,"[170, 210]",895691536,0.6683248814898229,0.6649640207316628,False
11,12,12,celegans2,0.1,0.001,moslin,abpxp,mean,"[170, 210]",807769993,1.530560757532184,1.3607360381386997,False
12,13,13,celegans2,0.1,0.01,moslin,precise,mean,"[170, 210]",611185183,0.6567949795422281,0.6482556085006784,False
13,14,14,celegans2,0.1,0.01,moslin,abpxp,mean,"[170, 210]",862249403,1.5159042347495761,1.318990885322947,True
14,15,15,celegans2,0.1,0.05,moslin,precise,mean,"[170, 210]",405705505,0.632569155240962,0.6271328275628425,True
15,16,16,celegans2,0.1,0.05,moslin,abpxp,mean,"[170, 210]",257513199,1.4690862362933819,1.285784065348289,True
16,17,17,celegans2,0.1,0.1,moslin,precise,mean,"[170, 210]",936026149,0.6019527212300616,0.5994077832342424,True
17,18,18,celegans2,0.1,0.1,moslin,abpxp,mean,"[170, 210]",770326712,1.4115353522205178,1.2415739535978412,True
18,19,19,celegans2,0.1,0.5,moslin,precise,mean,"[170, 210]",760066848,0.4435701673266358,0.4487844160767894,True
19,20,20,celegans2,0.1,0.5,moslin,abpxp,mean,"[170, 210]",326478567,1.1159999277218926,0.9984709487199183,True
20,21,21,celegans2,0.25,0.001,moslin,precise,mean,"[170, 210]",528559501,0.6497346975480083,0.6385627003488906,False
21,22,22,celegans2,0.25,0.001,moslin,abpxp,mean,"[170, 210]",392502568,1.5380773495996414,1.336718460817854,False
22,23,23,celegans2,0.25,0.01,moslin,precise,mean,"[170, 210]",738683446,0.6290649055218137,0.624559492719073,True
23,24,24,celegans2,0.25,0.01,moslin,abpxp,mean,"[170, 210]",837255296,1.5113009133806043,1.3148750556107824,True
24,25,25,celegans2,0.25,0.05,moslin,precise,mean,"[170, 210]",144641516,0.5547275678599461,0.5545685401592401,True
25,26,26,celegans2,0.25,0.05,moslin,abpxp,mean,"[170, 210]",274243666,1.3954490037506135,1.216557931439003,True
