Cell.type,color
Bl.ves.EC (apnln),#bd6a47
Cardiomyocytes (ttn.2),#779538
Endocardium (Ventricle),#2a588c
T-cells,#b18393
Smooth muscle cells,#8a6a4b
Macrophages,#9d3d58
Endocardium (Atrium),#3e70ab
Perivascular cells,#525566
Cardiomyocytes (Ventricle),#3f5346
Myelin cells,#dbd4c0
Bl.ves.EC (lyve1),#B68239
Cardiomyocytes (Atrium),#5d785b
Bl.ves.EC (plvapb),#a77745
Monocytes,#b884a0
Proliferating cells,#f8f2f1
Epicardium (Ventricle),#7b7f51
Endocardium (frzb),#5c667d
Valve fibroblasts,#e18c25
Neutrophils,#a981b5
B-cells,#c5adcc
Fibroblasts (col12a1a),#CE3A39
Fibroblasts (const.),#E9D723
Cardiomyocytes (proliferating),#38b38f
Fibroblasts (cxcl12a),#d57a86
Fibroblasts (proliferating),#2a378b
Fibroblasts (col11a1a),#92aad4
Epicardium (Atrium),#c6ba83
Fibroblasts (cfd),#a6c7a0
Fibroblasts (nppc),#763e69
Fibroblasts (spock3),#9b6d92
Fibroblasts (mpeg1.1),#e1e3d9
Neuronal cells,#dbd4c0
